epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.181,2.94432,4.268,1.03006,0,0,0,0,2.7315,4.26583,0.9265,0.0003375,0.0003375,0.0003375
2,206.104,2.81561,3.10143,0.95411,0.0391,0.18527,0.06759,0.02009,2.48936,3.49161,0.90386,0.000673888,0.000673888,0.000673888
3,308.343,2.74286,2.69795,0.93876,0.41379,0.21591,0.14116,0.04463,2.62537,2.34613,0.91747,0.000996415,0.000996415,0.000996415
4,417.349,2.77436,2.41476,0.94379,0.43383,0.38252,0.17418,0.05948,2.49602,2.32251,0.92031,0.00117575,0.00117575,0.00117575
5,520.034,2.73202,2.39519,0.93885,0.19205,0.35962,0.17899,0.05852,2.54063,2.51297,0.92573,0.001151,0.001151,0.001151
6,624.2,2.72083,2.3106,0.94465,0.1776,0.41289,0.1967,0.06807,2.51116,2.553,0.93012,0.00112625,0.00112625,0.00112625
7,727.841,2.73929,2.30556,0.95989,0.40732,0.41836,0.18428,0.05503,2.59377,2.65379,0.95265,0.0011015,0.0011015,0.0011015
8,829.656,2.6475,2.24594,0.94179,0.41873,0.37995,0.20578,0.07117,2.51409,2.177,0.91386,0.00107675,0.00107675,0.00107675
9,933.405,2.6379,2.27412,0.94963,0.44924,0.35076,0.22521,0.07939,2.40268,1.98331,0.90857,0.001052,0.001052,0.001052
10,1037.08,2.56335,2.18715,0.93583,0.47217,0.33616,0.23341,0.08187,2.434,1.91191,0.90584,0.00102725,0.00102725,0.00102725
11,1139.6,2.61508,2.16134,0.926,0.47907,0.33703,0.24407,0.08432,2.41911,1.88229,0.90983,0.0010025,0.0010025,0.0010025
12,1241.32,2.60101,2.21316,0.92244,0.44157,0.356,0.23649,0.08214,2.49105,1.97541,0.90347,0.00097775,0.00097775,0.00097775
13,1344.98,2.6182,2.18611,0.93392,0.4563,0.33999,0.26295,0.09337,2.39125,1.99088,0.90458,0.000953,0.000953,0.000953
